卷章,卷,章,AI超連結_V1
馬太福音第9章,馬太福音,9,https://claude.ai/public/artifacts/cbe1473e-9c10-4f49-adf8-f000023c1917
馬太福音第10章,馬太福音,10,https://claude.ai/public/artifacts/a8c05477-e59b-4bae-9131-855c000bdd50
馬太福音第11章,馬太福音,11,https://claude.ai/public/artifacts/8f20b887-fb50-4f8d-8299-f54ca71bccd4
馬太福音第12章,馬太福音,12,https://claude.ai/public/artifacts/43249859-3432-4265-81ff-98f14c7cc86b
馬太福音第13章,馬太福音,13,https://claude.ai/public/artifacts/2a80fcc3-c6ed-4451-9853-9645934276ae
馬太福音第14章,馬太福音,14,https://claude.ai/public/artifacts/ceb096ad-0f28-45d1-ab5a-a07c0a836af0
馬太福音第15章,馬太福音,15,https://claude.ai/public/artifacts/43dd9bc0-227d-4dfc-90e0-c15847406818
馬太福音第16章,馬太福音,16,https://claude.ai/public/artifacts/b60de102-9f7d-4201-a93c-89be8798c20e
馬太福音第17章,馬太福音,17,https://claude.ai/public/artifacts/919519ba-1777-4f52-88e8-bde1a18ecece
馬太福音第18章,馬太福音,18,https://claude.ai/public/artifacts/0bcec914-3096-4fca-8692-c9f8ddae2da7
馬太福音第19章,馬太福音,19,https://claude.ai/public/artifacts/aad9062d-c5c1-44b2-b4e4-374b1d7f86b9
馬太福音第20章,馬太福音,20,https://claude.ai/public/artifacts/b4edceef-0be0-4215-b798-f1d34197662d
馬太福音第21章,馬太福音,21,https://claude.ai/public/artifacts/b1cc9c93-761e-4f01-b65e-c194a2cde7dc
馬太福音第22章,馬太福音,22,https://claude.ai/public/artifacts/792112ff-b6a1-4fc0-ad35-bff2fa2d7163
馬太福音第23章,馬太福音,23,https://claude.ai/public/artifacts/ac8b125c-beec-4336-b0ba-83990f7e4770
馬太福音第24章,馬太福音,24,https://claude.ai/public/artifacts/a04caf1c-5c9e-484f-b490-dd0b4dbe4acb
馬太福音第25章,馬太福音,25,https://claude.ai/public/artifacts/9cc4f6d8-0ff2-4e5f-ac62-839d6f33e175
馬太福音第26章,馬太福音,26,https://claude.ai/public/artifacts/b0aa387f-00df-4597-aedc-c4ba25ec10df
馬太福音第27章,馬太福音,27,https://claude.ai/public/artifacts/4180bdee-dcac-4cfc-809e-5260ae3b9536
馬太福音第28章,馬太福音,28,https://claude.ai/public/artifacts/6ff34522-2720-47af-a3c5-e49c18f05041
撒迦利亞書第1章,撒迦利亞書,1,https://claude.ai/public/artifacts/73dc4807-de16-4312-9026-f37ac35af21f
撒迦利亞書第2章,撒迦利亞書,2,https://claude.ai/public/artifacts/e3b8f4c6-c02f-46c0-86e0-942c1d7137d8
撒迦利亞書第3章,撒迦利亞書,3,https://claude.ai/public/artifacts/86069af0-b694-4403-82de-9c36c08fdac5
撒迦利亞書第4章,撒迦利亞書,4,https://claude.ai/public/artifacts/65e1a915-78cc-45da-95f4-53736c5494c8
撒迦利亞書第5章,撒迦利亞書,5,https://claude.ai/public/artifacts/63d8fc70-e339-4a7f-9293-415e246f00d5
撒迦利亞書第6章,撒迦利亞書,6,https://claude.ai/public/artifacts/84eaaa10-94f1-4f07-982c-53381ea59977
撒迦利亞書第7章,撒迦利亞書,7,https://claude.ai/public/artifacts/2720d26f-85c0-4bd4-8d91-ab7b34d78b03
撒迦利亞書第8章,撒迦利亞書,8,https://claude.ai/public/artifacts/86579e58-2456-48f1-8f24-da6d92a4edf3
撒迦利亞書第9章,撒迦利亞書,9,https://claude.ai/public/artifacts/666ad2e1-4712-420b-990e-235eda6173fe
撒迦利亞書第10章,撒迦利亞書,10,https://claude.ai/public/artifacts/7e6a585e-620c-4253-b22b-b4384deb4468
撒迦利亞書第11章,撒迦利亞書,11,https://claude.ai/public/artifacts/a1d8ea34-1936-486a-8dce-e8b093f6d5b9
撒迦利亞書第12章,撒迦利亞書,12,https://claude.ai/public/artifacts/961361a2-372e-410a-8d78-325ef99c5aa4
撒迦利亞書第13章,撒迦利亞書,13,https://claude.ai/public/artifacts/215d80f2-7c75-4b71-af03-604bd2bded56
撒迦利亞書第14章,撒迦利亞書,14,https://claude.ai/public/artifacts/42b16632-91a4-46ef-98ac-bc446dacf004
猶大書第1章,猶大書,1,https://claude.ai/public/artifacts/9f0ac724-f34d-4f38-8a72-340d201a6198
士師記第1章,士師記,1,https://claude.ai/public/artifacts/19463d07-0bbb-4c6b-8ec5-704dc45016d7
士師記第2章,士師記,2,https://claude.ai/public/artifacts/8e75d982-cdc0-4863-9121-1c5c33f7c1c4
士師記第3章,士師記,3,https://claude.ai/public/artifacts/efa1afce-8489-4b0e-bc18-00588ea9309d
士師記第4章,士師記,4,https://claude.ai/public/artifacts/c213df11-2b4b-4b07-a81c-777a593ce767
士師記第5章,士師記,5,https://claude.ai/public/artifacts/93a5ae70-d9d4-4cf3-a6c6-1d07c37cc5a3
士師記第6章,士師記,6,https://claude.ai/public/artifacts/99f9c900-9091-44dd-ab32-8de114e5f0f8
士師記第7章,士師記,7,https://claude.ai/public/artifacts/cf8af03c-7ffd-43c5-a2f2-588ee060ec32
士師記第8章,士師記,8,https://claude.ai/public/artifacts/0bc2b296-7b90-405e-b1b4-fd3053368473
士師記第9章,士師記,9,https://claude.ai/public/artifacts/23a0b127-1f32-4715-93a1-bc56847f088c
士師記第10章,士師記,10,https://claude.ai/public/artifacts/474c0536-8b03-4e37-8ba1-547dee91d77b
士師記第11章,士師記,11,https://claude.ai/public/artifacts/d2691505-09de-43d8-8593-e9cd04fd062a
士師記第12章,士師記,12,https://claude.ai/public/artifacts/473d3c2f-f78b-49a5-baeb-252bbce3ca9a
士師記第13章,士師記,13,https://claude.ai/public/artifacts/a9556643-3c56-47f2-946e-29a55bfa42b5
士師記第14章,士師記,14,https://claude.ai/public/artifacts/ca81a7a4-ee2a-4540-a31f-4dc2171fb881
士師記第15章,士師記,15,https://claude.ai/public/artifacts/37556ae6-23fd-46ff-b3a9-2934d3481209
士師記第16章,士師記,16,https://claude.ai/public/artifacts/61cd0706-82f0-4742-a831-6ebca87019d5
士師記第17章,士師記,17,https://claude.ai/public/artifacts/9580c8c7-27ae-40e4-8976-ad20c3a8042a
士師記第18章,士師記,18,https://claude.ai/public/artifacts/34f41d7e-84de-4f6f-b885-de472b6a78a6
士師記第19章,士師記,19,https://claude.ai/public/artifacts/dce48bc5-e5e1-4fd9-98bb-7cbd133cc706
士師記第20章,士師記,20,https://claude.ai/public/artifacts/152b0086-22d4-4bd3-8850-eec078077020
士師記第21章,士師記,21,https://claude.ai/public/artifacts/582a07ad-84f4-4ee4-a1c9-5ba075fabd76
雅各書第1章,雅各書,1,https://claude.ai/public/artifacts/4b7d0971-9276-4eb2-bce1-7d6b7fc7a15a
雅各書第2章,雅各書,2,https://claude.ai/public/artifacts/5680df76-23af-4ae7-a72f-783ca48ded07
雅各書第3章,雅各書,3,https://claude.ai/public/artifacts/fb489afb-62b2-4fdf-97ef-48261feb9cc1
雅各書第4章,雅各書,4,https://claude.ai/public/artifacts/4c4bb04e-dee9-4611-80ca-e9b5f814b525
雅各書第5章,雅各書,5,https://claude.ai/public/artifacts/f7da8cff-b078-4ea7-bc76-2a1aa3ab9151
路得記第1章,路得記,1,https://claude.ai/public/artifacts/053e4199-ef5e-4820-b1f2-55046b338215
路得記第2章,路得記,2,https://claude.ai/public/artifacts/e179440e-669e-4d9f-b407-9fbef76bf2de
路得記第3章,路得記,3,https://claude.ai/public/artifacts/a8af92c0-688c-492f-873b-03655c880242
路得記第4章,路得記,4,https://claude.ai/public/artifacts/46e98796-9eda-44c0-b12f-d969e6c131dd
撒母耳記上第1章,撒母耳記上,1,https://claude.ai/public/artifacts/8b6786f0-730f-4dec-b96b-1eab746b4cc9
撒母耳記上第2章,撒母耳記上,2,https://claude.ai/public/artifacts/ee93c4d3-09ee-4ae4-b1e6-f364e15e9217
撒母耳記上第3章,撒母耳記上,3,https://claude.ai/public/artifacts/abc7d3bd-4f94-4ad2-89d9-6d392e67ea83
撒母耳記上第4章,撒母耳記上,4,https://claude.ai/public/artifacts/47228de3-c6db-4803-a1a4-fe850b77566e
撒母耳記上第5章,撒母耳記上,5,https://claude.ai/public/artifacts/33cfd74c-e337-465a-9049-d685581025ed
撒母耳記上第6章,撒母耳記上,6,https://claude.ai/public/artifacts/319fd328-3858-41ae-a669-2618ac9a17fa
撒母耳記上第7章,撒母耳記上,7,https://claude.ai/public/artifacts/72d24cce-97c8-449c-b06b-034d2dd2f5d2
撒母耳記上第8章,撒母耳記上,8,https://claude.ai/public/artifacts/98490638-1a73-4701-8fb3-8638b8121f72
撒母耳記上第9章,撒母耳記上,9,https://claude.ai/public/artifacts/cd5e4c20-f238-450d-9149-0fca99b082bc
撒母耳記上第10章,撒母耳記上,10,https://claude.ai/public/artifacts/5a88ad06-18aa-493b-b86d-52f7f156843c
撒母耳記上第11章,撒母耳記上,11,https://claude.ai/public/artifacts/c49940e3-ad9d-4dac-b88e-9fb7a5f59d6f
撒母耳記上第12章,撒母耳記上,12,https://claude.ai/public/artifacts/2d94091b-b775-40f1-9d70-850e6a9574f6
撒母耳記上第13章,撒母耳記上,13,https://claude.ai/public/artifacts/49e636cf-cc3d-4e44-afce-a0906b925463
撒母耳記上第14章,撒母耳記上,14,https://claude.ai/public/artifacts/752f4872-21ce-41c3-ac76-f98fb9f30353
撒母耳記上第15章,撒母耳記上,15,https://claude.ai/public/artifacts/9c266dc9-9792-4d47-85f5-d991df1958a3
撒母耳記上第16章,撒母耳記上,16,https://claude.ai/public/artifacts/5c5ea637-ebd9-44d7-8591-d36db9fa2e42
撒母耳記上第17章,撒母耳記上,17,https://claude.ai/public/artifacts/bf4a8b57-055b-43f1-bbaa-0ec6555160bc
撒母耳記上第18章,撒母耳記上,18,https://claude.ai/public/artifacts/d48848e7-5b08-471c-8cf7-0ef7a198e7f6
撒母耳記上第19章,撒母耳記上,19,https://claude.ai/public/artifacts/b1432a94-f307-4037-8855-a497c99e8e64
撒母耳記上第20章,撒母耳記上,20,https://claude.ai/public/artifacts/c0510b82-40f5-4986-ab27-e3038ea750d3
撒母耳記上第21章,撒母耳記上,21,https://claude.ai/public/artifacts/bad3ee85-286e-445e-97f7-ff756f1dd6c3
撒母耳記上第22章,撒母耳記上,22,https://claude.ai/public/artifacts/c4b4f68a-117c-480e-8fa3-4966f7ffbeae
撒母耳記上第23章,撒母耳記上,23,https://claude.ai/public/artifacts/b38ff194-a869-440a-80ed-4b394944d33d
撒母耳記上第24章,撒母耳記上,24,https://claude.ai/public/artifacts/91b921b7-274f-409d-8596-db5dbd8f292b
撒母耳記上第25章,撒母耳記上,25,https://claude.ai/public/artifacts/88660e13-5056-4659-88a8-66079f3a69ba
撒母耳記上第26章,撒母耳記上,26,https://claude.ai/public/artifacts/50facdc4-c3e5-4296-96bd-03b6341c09cc
撒母耳記上第27章,撒母耳記上,27,https://claude.ai/public/artifacts/2974541c-fc30-4d67-9636-266a1c7807fd
撒母耳記上第28章,撒母耳記上,28,https://claude.ai/public/artifacts/e8e9131a-f913-461a-b92b-c1b8e832a8f0
撒母耳記上第29章,撒母耳記上,29,https://claude.ai/public/artifacts/f03e71c1-1086-44f6-b121-81457ea01177
撒母耳記上第30章,撒母耳記上,30,https://claude.ai/public/artifacts/b911ec17-99c4-49cb-aed5-867e651244bf
撒母耳記上第31章,撒母耳記上,31,https://claude.ai/public/artifacts/3c17ebf2-0027-4b63-bcf1-9917ea98cfa2
撒母耳記下第1章,撒母耳記下,1,https://claude.ai/public/artifacts/2ec09660-2fde-4626-b550-94c8ea6dc75b
撒母耳記下第2章,撒母耳記下,2,https://claude.ai/public/artifacts/d01cfdee-078d-42ad-8dfe-7865777b64a9
撒母耳記下第3章,撒母耳記下,3,https://claude.ai/public/artifacts/00516ade-4a01-4025-9fae-7a8f5f2a0caf
撒母耳記下第4章,撒母耳記下,4,https://claude.ai/public/artifacts/29b8653a-784f-4dfe-96a7-afc5a129c15a
撒母耳記下第5章,撒母耳記下,5,https://claude.ai/public/artifacts/ac2775c9-8b9c-4293-bf1b-1174fb1411a7

