章標題,背景簡介,核心屬靈意涵,重點經文_1,思想題目_1,重點經文_2,思想題目_2,重點經文_3,思想題目_3,卷章名,,,,,,
性倫理律法：聖潔生活與世俗風俗有別,利未記第18章開始了所謂的「聖潔法典」（第17-26章），從儀式潔淨轉向日常生活與道德行為的聖潔。本章集中於性倫理的律例，以「我是耶和華你們的神」作為整章的框架，強調這些命令的根基是神的屬性，而非人的習俗。神首先警告以色列人不可效法埃及（他們曾居住之地）或迦南（他們將要進入之地）的行為，揭示這些民族的道德敗壞已達到神不得不審判的地步。章節中詳細列出禁止亂倫關係的各種情形，並禁止通姦、獻兒女給異教神摩洛，以及其他被稱為「可憎惡的事」的性行為。這些律例的目的不只是規範個人行為，更是為了保護家庭結構的完整性和社會的穩定。章末嚴肅地警告：違背這些律例的行為已使迦南地受到玷污，神的審判使那地「吐出居民」。以色列若步其後塵，同樣面臨被吐出的命運。,"1. 聖潔是與世俗文化的區別，非隨波逐流
神明確指出以色列不可效法埃及或迦南的行為，這是對「文化適應主義」的直接挑戰。神的子民在道德標準上應當與周圍的文化有所不同，這種不同不是傲慢，而是對神聖潔本質的反映。今日的信徒同樣生活在各種道德相對主義盛行的文化中，神的呼召依然是「不可效法這個世界的樣式」（羅馬書12:2），而是按照神的標準更新心意。
2. 道德違規的後果延伸至整個社群乃至土地
本章多次強調，道德的敗壞不只影響個人，也「玷污了地」，最終導致土地「吐出居民」。這是一個深刻的警告：罪的影響具有社會性和歷史性。一個社會對神所設立的道德秩序的集體背離，終將引來神的審判。這提醒信徒，個人的道德選擇不只是私人事務，而是對整個社群屬靈氣候的貢獻或傷害。
3. 遵行神的律例是生命的道路
第5節明確指出：「人若遵行，就必因此活着。」神的律例不是為了束縛人，而是為了保護人，使人活在神所設計的美好秩序中。就如同家電產品按說明書操作才能發揮最大效能，人按神的設計生活，才能享有真正的生命豐盛。遵守神的道德律例，本質上是對「活著」這件事最深的認識。",「你們從前住的埃及地，那裏人的行為，你們不可效法……也不可照他們的惡俗行。」（利18:3）,就像剛換工作的人容易被新環境的文化同化，而漸漸放棄原有的價值觀，你是否發現自己在某些道德標準上，已不知不覺地以「大家都這樣做」作為自己行事的依據？,「你們要遵我的典章，守我的律例，按此而行。我是耶和華你們的神。」（利18:4）,就像導航系統的地圖需要定期更新才能給出準確路線，信仰的道德羅盤必須以神的話為基礎定期校正，你是否常用神的律例來檢驗自己的行為標準，還是讓社會風氣悄悄取代了神的指引？,「在這一切的事上，你們都不可玷污自己；……連地也玷污了，所以我追討那地的罪孽，那地也吐出它的居民。」（利18:24-25）,就像一滴墨水落入清水中會擴散整杯，個人的道德選擇也會影響整個家庭和社群的屬靈氣候，你是否認真看待自己的道德決定對身邊人和整體環境所帶來的連鎖影響？,03利未記第18章,,,,,,
你們要聖潔：聖潔涵蓋生活每個層面,利未記第19章是整卷利未記中內容最豐富多元的一章，被許多學者稱為「小十誡」或「聖潔法典的核心」。本章以神對全會眾的呼召開始：「你們要聖潔，因為我耶和華你們的神是聖潔的」，確立了一切律例的神學根基——聖潔的動力來自神的本質，而非人的努力。章節的律例涵蓋範圍極廣，從宗教敬拜（安息日、不拜偶像）到農業道德（留田角給窮人）、商業誠信（公道秤量）、對弱勢的尊重（不欺負聾啞瞎子、不欺壓外人），乃至人際關係（不報仇、不搬弄是非）和愛人如己。多次重複「我是耶和華」的短句，提醒所有律例的根基都是神的屬性和主權，而非社會合約或文化慣例。其中第18節「愛人如己」被耶穌引用為誡命的精髓（馬太福音22:39），顯示本章在整個聖經救恩倫理中的核心地位。,"1. 聖潔不只是宗教行為，更涵蓋日常生活的每一層面
本章將宗教儀式（獻祭、守安息日）與農業、商業、司法、家庭等日常生活並列，顯示神對聖潔的定義從不局限於「教會時間」。信徒在職場的誠信、對待弱勢者的態度、日常的言語和行為，都是聖潔與否的試驗場。屬靈生命的成熟，在於讓信仰滲透生活的每個角落，而非只在特定宗教場合才有「神聖感」。
2. 愛人如己是聖潔生活的實踐核心
第18節「愛人如己」不只是一句口號，而是接在一系列具體行為（不報仇、不埋怨、主動指出鄰舍的錯誤）之後所給出的總結原則。真正愛人如己，需要主動為鄰舍的益處行動，包括在適當時候直言相勸，而非沉默姑息。這種愛是需要意志和行動的，不是單靠感情。
3. 公義對待弱勢是信仰真實性的檢驗
本章多次提到對弱勢者（窮人、外人、聾者、瞎者、雇工）的具體保護要求，顯示神的聖潔法典從不脫離社會公義。一個人對神的敬畏，會直接反映在他如何對待生活中那些無法反抗欺壓的人。信仰若只停留在禮拜堂內，而對日常中的不公義視而不見，便是未能真正活出利未記19章的精神。",「你們要聖潔，因為我耶和華你們的神是聖潔的。」（利19:2）,就像加入一間知名公司後，員工的言行舉止代表公司的形象，信徒的生命也應當反映神的聖潔性情，你在日常生活中，有哪些具體的層面尚未讓神的聖潔滲透進去？,「在你們的地收割莊稼，不可割盡田角，……要留給窮人和寄居的。」（利19:9-10）,就像外送平台設有無障礙訂餐選項為行動不便者服務，神要求以色列人在豐收中主動留出給弱勢者的空間，你是否在自己的資源管理中，為有需要的人刻意「留出田角」？,「不可報仇，也不可埋怨你本國的子民，卻要愛人如己。我是耶和華。」（利19:18）,就像兩個拼車的人需要彼此遷就才能讓旅程順利，不報仇和愛人如己都需要主動放棄自己的感受，你在生活中最難「愛人如己」的關係是哪一個，神的命令如何挑戰你在那段關係中的回應方式？,03利未記第19章,,,,,,
違律的刑罰：聖潔的底線不可越過,利未記第20章是第18章性倫理律例的刑事對應章節——第18章列出禁止的行為，第20章則規定違反這些律例的刑罰。本章以最嚴厲的罪行開始：將兒女獻給迦南神摩洛。這種異教習俗涉及以兒童作為祭物，是對神所賜生命最直接的褻瀆，也是對以色列信仰的最根本背叛。神特別嚴肅地回應「佯為不見」的社群責任——即便個人沒有犯罪，若對群體中的嚴重罪行沉默，同樣面臨神的審判，顯示神對集體責任的重視。接下來列出各種亂倫、性道德違規和屬靈偏離（交鬼、巫術）的刑罰，多為死刑或被剪除（逐出社群）。本章的核心神學論述出現在第24-26節：神呼召以色列「與萬民有分別」，使他們成為神的子民，這種「分別」不是種族優越感，而是道德與屬靈身分的區別，彰顯神在地上的聖潔屬性。,"1. 罪的嚴重性需要嚴肅的回應
本章所列的嚴厲刑罰，在現代讀者眼中可能顯得過於嚴苛，但其神學意義在於宣告罪的嚴重性。神不輕看任何悖逆聖潔秩序的行為。在新約時代，雖然刑事處罰由教會和政府分開執行，但罪的嚴重性並未因此降低。基督為我們承擔了這些罪的刑罰，這正是十字架的代價如此沉重的原因。
2. 沉默對待罪也是一種罪
神明確指出，本地人若對鄰人把兒女獻給摩洛「佯為不見」，同樣會受到審判。這宣告了群體責任的原則：在罪的問題上，沉默並非中立。信仰群體對成員中嚴重罪行的縱容，是一種集體的罪。新約的教會紀律原則（馬太福音18:15-17）延伸了這一精神，要求信徒在弟兄陷入罪中時主動介入，而非袖手旁觀。
3. 分別為聖是神子民的身分標記
第24-26節清楚宣告，神使以色列與萬民「有分別」，目的是讓他們成為神的民，活出神的聖潔。這種分別不是自義的孤立，而是積極的見證——讓周圍的人透過以色列的生活方式，認識那位聖潔的神。今日的信徒同樣被呼召活出「在世而不屬世」的見證，以生命彰顯神的屬性。",「本地人若佯為不見，不把他治死，我就要向這人和他的家變臉……」（利20:4-5）,就像公司員工發現同事造假帳卻選擇裝作沒看見，最終可能一起承擔法律後果，對罪行的沉默不等於無辜，你是否曾在群體中對明顯的錯誤保持沉默，以為這樣就與自己無關？,「所以你們要自潔成聖，因為我是耶和華你們的神。你們要謹守遵行我的律例；我是叫你們成聖的耶和華。」（利20:7-8）,就像運動員需要自我訓練紀律才能達到教練所要求的水準，屬靈的成聖需要信徒主動配合神的工作，你在哪些具體的生活習慣或選擇上，需要更主動地配合神讓你成聖的工作？,「你們要歸我為聖，因為我耶和華是聖的，並叫你們與萬民有分別，使你們作我的民。」（利20:26）,就像某品牌的產品因其獨特的設計語言而在市場上有明顯辨識度，神的子民也應在生活價值觀和行為方式上有別於世俗，別人能從你日常的選擇和待人方式中，辨認出你是屬神之人嗎？,03利未記第20章,,,,,,
祭司的聖潔：服事者須有更高標準,利未記第21章記載了神對祭司族群（亞倫子孫）更嚴格的聖潔要求。普通以色列人須守基本的潔淨律例，祭司作為在神與民之間擔任中保的人，被要求在更高層次上活出聖潔。本章前半針對一般祭司，規定他們不可為大多數死人沾染自己（只允許為最親密的骨肉），不可從事異教習俗（剃頭、劃身），也不可娶品行有污點的女性為妻。後半則針對大祭司，要求更嚴格：他完全不可接觸死屍，甚至是父母，因為神的膏油冠冕使他隨時準備進入聖所。本章末尾的身體殘疾條例，規定有身體缺陷的祭司不可上壇獻祭，但仍可享用聖物。這並非歧視，而是用身體的完整性象徵屬靈獻祭的完全性——這個象徵最終在完全無瑕疵的大祭司基督身上得到完全應驗（希伯來書7:26-28）。,"1. 服事者承擔更高的聖潔責任
神對祭司的要求明顯高於對一般百姓的要求。這不是不公平，而是因為職責不同，標準自然不同。越靠近神，責任越大；服事神的人，其生命方式本身就是一種信息。今日擔任領袖、傳道人或教師角色的信徒，在行為與品格上同樣被神和會眾以更高的標準來看待，這是榮譽，也是嚴肅的責任。
2. 代表神的人，其生命見證影響神的形象
祭司若行事不合神的聖潔，便是「褻瀆神的名」。祭司代表神站在百姓面前，他的行為直接影響百姓對神的認識。同樣，每一個信徒在世界面前都代表著基督的名，我們的生命是世人讀到的「書信」（哥林多後書3:2-3）。如何生活，就是在向周圍的人宣告我們所信的神是誰。
3. 完全無瑕疵的獻祭只能由基督成就
要求祭司身體完整才能上壇獻祭，象徵著神所接納的祭必須是完全的。舊約的祭司沒有一位能真正完全，他們的聖潔也只是相對的。這套制度最終指向那位唯一完全無罪的大祭司——耶穌基督，祂一次獻上自己，成就了舊約所有祭司制度無法完成的完全獻祭（希伯來書10:1-14）。",「祭司既在民中為首，就不可從俗沾染自己。」（利21:4）,就像機長在飛行中不能因旅客要求而偏離安全程序，屬靈領袖不能因群體壓力而降低聖潔標準，你在擔任任何領袖角色時，是否有意識地讓神的標準而非周圍的眼光來引導你的決定？,「要歸神為聖，不可褻瀆神的名；……所以他們要成為聖。」（利21:6）,就像品牌大使的一言一行都代表公司形象，信徒的生命方式也在向世界宣告所信之神的屬性，你日常生活中哪些具體的行為或言語，最能或最不能反映你所說你所信的神？,「他有殘疾，不可近前來獻神的食物。……但不可進到幔子前，也不可就近壇前；因為他有殘疾，免得褻瀆我的聖所。」（利21:21、23）,就像舊約祭牲必須是沒有殘疾的才被接納，這個標準最終只有基督才能完全滿足，你是否感謝神，祂不再要求你用自己不完全的努力來換取接納，因為基督已代替你成就了完全的獻祭？,03利未記第21章,,,,,,
聖物與無殘疾祭牲：獻給神的須純全,利未記第22章延續第21章的主題，從祭司的個人聖潔進一步延伸至聖物的處理與祭牲的品質要求。本章分為三個主題：第一，祭司在不潔淨狀態下不可吃聖物，必須先潔淨才能進食，強調聖潔不只是服事時的要求，也關乎日常的生命狀態；第二，聖物的食用有嚴格的界線，只有屬於祭司家族的人才可吃，外人和一般雇工不可，但透過屬於祭司的奴僕則可以，顯示神藉著關係與身分界定恩典的範圍；第三，也是本章最詳盡的部分，規定獻給神的祭牲必須是沒有殘疾的。神不接受有缺陷的祭物，無論是瞎眼、折傷、殘廢或有病的，一概不蒙悅納。末尾神再次以「我是耶和華」結語，將所有要求的根基指向神的本性：祂的聖名必須被尊重，祂所接受的敬拜必須與祂的聖潔性情相稱。,"1. 獻給神的必須是最好的，不可敷衍了事
神拒絕有殘疾的祭牲，宣告祂值得人獻上最好的。這一原則挑戰了「差不多就好」的敬拜心態。在日常生活中，我們是否常常把精力的剩餘部分留給神——把零碎時間用來禱告，把精力耗盡後才想到讀經？神所要求的不是人無法達到的完美，而是真誠地獻上「最好的心」，帶著全心全意的態度來到祂面前。
2. 聖潔的狀態影響我們與神交通的資格
祭司在不潔淨時不可吃聖物，必須先行潔淨。這說明人與神之間的交通，不能在靈命污穢的狀態下隨意進行。信徒若帶著未悔改的罪、苦毒、驕傲或虛偽來讀聖經和禱告，所得的益處將大打折扣。首先誠實地在神面前認罪與更新，才能真正開放心靈領受神的話語。
3. 神的聖名必須在生命和敬拜中被尊榮
章末明確宣告「你們不可褻瀆我的聖名」，提醒以色列人，敬拜的最終目的是高舉神的名，而非滿足人的宗教需求。獻上殘疾祭牲，本質上是對神聖名的輕慢——暗示神不值得最好的。今日信徒的敬拜態度、生活見證和對待聖事的認真程度，都直接關係到神的名是否在世界面前得到尊榮。",「凡身上有污穢、親近以色列人所分別為聖、歸耶和華聖物的，那人必在我面前剪除。」（利22:3）,就像外科醫生在手術前必須嚴格消毒才能進入手術室，否則將危害病人，帶著未經處理的靈命污穢來敬拜神是危險的，你在每次禱告或領受聖餐前，是否先停下來讓神光照並潔淨你的心？,「凡有殘疾的，你們不可獻上，因為這不蒙悅納。」（利22:20）,就像求職面試時若只投遞潦草的履歷，就難以讓雇主留下好印象，我們對神的獻上同樣反映我們對祂的評價，你是否曾認真省思，自己在時間、財力、才能的奉獻上，是否常常只給神剩餘的部分？,「你們不可褻瀆我的聖名；我在以色列人中，卻要被尊為聖。我是叫你們成聖的耶和華。」（利22:32）,就像一個人的言行若與他聲稱的價值觀相反，他的名聲便會受損，信徒的生命方式直接關係到神的名在世界中的形象，你的日常生活，是讓神的名被尊榮，還是讓周圍的人對信仰產生誤解？,03利未記第22章,,,,,,
神的節期：時間管理納入神聖曆法,利未記第23章是聖經中記載以色列七大節期最完整的一章，被稱為以色列的「神聖曆法」。這七個節期依序是：安息日（每週）、逾越節（一月十四日）、無酵節（一至二十一日）、初熟節（搖禾捆）、五旬節（七週後）、吹角節（七月初一）、贖罪日（七月初十）、住棚節（七月十五至二十二日）。這些節期不只是文化慶典，每一個都承載著特定的神學意義：逾越節紀念出埃及；無酵節象徵除去舊酵（罪）；初熟節獻上土地的頭一份感謝神；五旬節（五旬節後新約聖靈降臨）；吹角節是集合的呼聲；贖罪日是全國悔罪；住棚節紀念曠野漂流的歲月並預表末世的敬拜。神藉這套曆法將以色列人一整年的時間節奏納入以神為中心的框架，使信仰不只是特殊場合的事，而是貫穿全年的生命節拍。,"1. 神設立節期，要祂的子民定期與祂相聚
七個節期的設立，顯示神渴望以色列人不只是在危急時才轉向祂，而是在全年有規律地聚集、記念、敬拜。這種結構性的神聖時間，防止信仰陷入隨意或遺忘。今日的信徒雖然不受舊約節期約束，但規律的主日聚會、個人靈修、靈修假期等，都是延續這一精神的現代實踐——讓時間本身成為信仰的見證。
2. 節期是記憶與感恩的操練，對抗屬靈遺忘
住棚節要求以色列人住在棚裡，以身體的不便勾起對曠野漂流的記憶，學習感恩神的供應。神深知人的記憶短暫，容易在豐盛時忘記艱難，在安穩時忘記拯救。透過定期重演救恩歷史的節期，以色列人的屬靈認同被不斷刷新。信徒每次領受聖餐、閱讀聖經故事，也都是在進行這種「屬靈記憶更新」的操練。
3. 節期指向基督救恩的全程
舊約七個節期在新約中都找到對應的應驗：逾越節對應基督被釘十架，初熟節對應基督復活，五旬節對應聖靈降臨，而吹角節、贖罪日、住棚節則預表末世的事件。這套節期系統顯示神的救贖計畫有前後一貫的脈絡，整個聖經是一個完整的救恩故事，每個節期都是其中一個重要章節。",「耶和華的節期，你們要宣告為聖會的節期。」（利23:2）,就像公司定期的全員會議確保所有人對齊目標，神設立節期是要確保祂的子民定期重新對準以神為中心的生命方向，你的生活中是否有固定的「屬靈節期」——定期暫停日常節奏，刻意把時間獻給神？,「你們要住在棚裏七日；凡以色列家的人都要住在棚裏，好叫你們世世代代知道，我領以色列人出埃及地的時候曾使他們住在棚裏。」（利23:42-43）,就像老兵用珍藏的舊照片提醒自己戰場上的歷練，神要求住棚節以身體的不適來喚起對曠野歲月的記憶，你是否有意識地保持對神恩典的記憶，避免在安穩的日子裡忘記祂的供應？,「七月初十是贖罪日；你們要守為聖會，並要刻苦己心，也要將火祭獻給耶和華。」（利23:27）,就像系統定期需要清除快取才能保持流暢運作，靈命也需要定期認真的悔罪與更新，你是否曾主動為自己設立一段「屬靈贖罪日」，帶著認真的態度在神面前清算積累的罪與冷漠？,03利未記第23章,,,,,,
燈火陳餅與褻瀆審判：尊神名不容輕忽,利未記第24章由兩個看似不同的段落組成：一是關於燈台與陳設餅的條例，二是一個涉及褻瀆神名的真實事件及其後的律例宣告。前半部分，神指示以色列人用純橄欖油點燃燈台，使其永不熄滅，又規定每安息日在金桌上陳設十二個餅（代表以色列十二支派），以乳香作紀念。這些聖所中的持續事奉，象徵以色列在神面前的持續敬拜與神對十二支派的恆久記念。後半部分則轉入一個具體案例：一個以色列婦人和埃及人所生的兒子，在爭鬥中咒詛了神的聖名。神透過摩西頒布判決：褻瀆神名者，無論本地人或外人，一律處死。此後進一步宣告公平司法的原則，包括「以眼還眼、以牙還牙」——這並非鼓勵報復，而是確立司法的比例原則，防止過度懲罰或袒護強者。,"1. 持續的事奉比間歇的熱情更有屬靈深度
燈台要「常常點着」，陳設餅要「每安息日常擺」，這兩個持續性的要求教導以色列人：對神的委身不能是週期性的情緒，而是持續不斷的生命狀態。屬靈生命的健壯不在於偶爾的靈性高峰體驗，而在於日常持守的紀律——每日禱告、定期讀經、週週聚會，這些看似平凡的習慣，是屬靈生命長久的根基。
2. 神的名是神的代表，不可輕率對待
褻瀆神名者受到最嚴厲的處置，因為神的名代表神的本性和榮耀。隨意使用神的名（無論是咒詛或是無意義的宣稱），都是對神存在和屬性的輕慢。今日信徒有時以「奉主名」作為為自己意願背書的工具，或在社交媒體上輕率地聲稱「神告訴我」，這種對神名的輕率使用，與褻瀆在本質上並無太大差異。
3. 公義的法則對所有人一視同仁
「不管是寄居的是本地人，同歸一例」這一原則，是對「法律面前人人平等」最早期的宣告。神的公義不因身分、出身或背景而有偏頗。在以偏袒強者為常態的古代社會，這是革命性的宣告。今日信徒在職場、家庭和社群中，是否也能以同樣一視同仁的公義態度對待所有人？",「亞倫從晚上到早晨必在耶和華面前經理這燈。這要作你們世世代代永遠的定例。」（利24:3）,就像路燈需要定時維護才能持續為行人照明，屬靈的光要持續發亮也需要定期的補給與維護，你的屬靈生活是否有規律、持續的節奏，還是只在感覺需要的時候才想到要加油？,「那褻瀆耶和華名的，必被治死；……不管是寄居的是本地人，他褻瀆耶和華名的時候，必被治死。」（利24:16）,就像品牌名稱受到法律保護，濫用名稱需要承擔後果，神的名代表祂的榮耀與權威，你是否在日常言語中認真對待神的名，還是有時不假思索地以「神說」或「奉主名」掩蓋自己的想法？,「不管是寄居的是本地人，同歸一例。我是耶和華你們的神。」（利24:22）,就像法庭不能因被告的社會地位而改變判決標準，神的公義對所有人一視同仁，你在與人相處時，是否也能做到不因對方的身分、財富或關係而有雙重標準，以公平的態度對待每一個人？,03利未記第24章,,,,,,
安息年與禧年：萬物歸神自由重建,利未記第25章記載了兩個以色列獨特的經濟與社會制度：安息年（每七年）和禧年（每五十年）。安息年要求土地每七年休耕一年，讓地得到安息，所有自然生長的出產對所有人開放。禧年則是更宏大的重置：每五十年，所有賣出的土地歸還原主，所有因貧困而賣身為奴的以色列人獲得自由，並歸回本家。這兩個制度共同呈現了神對土地、財富和人的主權宣告：「地不可永賣，因為地是我的」（第23節）。人是神的寄居者，不是終極的擁有者。禧年也直接預告了新約的救贖：耶穌在路加福音4:18-19引用以賽亞書61章，宣告自己是真正「禧年」的應驗——宣告被擄的得釋放，使受壓制的得自由。此外，本章也規定以色列人不可向貧窮的弟兄取利，並有義務幫助至親贖回所失去的產業，彰顯了以神的公義為根基的社會互助精神。,"1. 萬物屬神，人是管家而非擁有者
「地是我的」這句宣告顛覆了人對財產的終極所有權觀念。以色列人每七年讓地休耕，每五十年歸還地業，是對這一真理的具體承認。信徒若真正相信萬物屬神，對財富的態度便會從「擁有」轉為「管理」，從積累轉為分享。安息年的精神挑戰我們：是否願意讓部分的「擁有感」定期鬆手，承認神才是一切的主？
2. 禧年宣告自由，預表基督帶來的終極釋放
禧年的角聲宣告自由、歸還產業，是舊約最接近「福音」的社會制度——負債得赦、奴僕自由、失地歸還。這一制度預表了基督所帶來的終極禧年：罪債得赦、被罪奴役的靈魂得自由、失落的神的形像得以恢復。每個信徒在基督裡所進入的救贖，就是那真實禧年的應驗，是不受時限、永久生效的。
3. 對貧窮弟兄的扶助是敬畏神的具體表現
本章明確要求以色列人不可向貧窮的弟兄取利，要幫補他、不可嚴嚴地轄管他。這些要求以「只要敬畏你的神」作為動機，將對神的信仰直接連結於對窮人的態度。對神的敬畏不是抽象的宗教情感，而是在面對最脆弱、最無助的人時，仍然以神的公義和憐憫待他的具體行動。",「第五十年，你們要當作聖年，在遍地給一切的居民宣告自由。這年必為你們的禧年，各人要歸自己的產業，各歸本家。」（利25:10）,就像企業債務重組讓瀕臨破產的公司重新獲得出發的機會，禧年制度讓每個人都能從貧困的惡性循環中被重置，你是否真實地經歷過，基督的救恩如何為你個人帶來一次「禧年」式的屬靈重置與自由？,「地不可永賣，因為地是我的；你們在我面前是客旅，是寄居的。」（利25:23）,就像租房者知道房子不是自己的所以不會過度依附，承認自己是神的管家而非擁有者，你在面對金錢、工作、房產等物質資源時，是以「擁有者」還是「管家」的心態在管理？這兩種心態如何影響你的決定？,「不可向他取利，也不可向他多要；只要敬畏你的神，使你的弟兄與你同住。」（利25:36）,就像有些咖啡廳設有「掛單咖啡」讓顧客為有需要的人預先付款，幫助弟兄不求利益是敬畏神的具體行動，你身邊是否有正在艱難中的弟兄姊妹，你所謂的「敬畏神」是否正在透過對他們的幫助而展現出來？,03利未記第25章,,,,,,
順服與背約：祝福或審判出於神的信實,利未記第26章是整卷書的高潮之一，以「祝福與咒詛」的結構為以色列的聖約關係作出最終的總結宣告，類似申命記28章的結構。章節前半（1-13節）是令人神往的祝福清單：豐收、平安、勝利、人口增長，以及最核心的祝福——「我要在你們中間行走；我要作你們的神，你們要作我的子民」。後半（14-39節）則是逐步升級的審判警告，神若見以色列不悔改，將四次以「加七倍」的形式加重懲罰，從疾病、農業失敗、野獸侵害、刀劍瘟疫，最終到被擄散居列邦。然而，本章以一個充滿盼望的結語收尾（40-45節）：即使以色列在審判中，神仍不背棄祂與亞伯拉罕、以撒、雅各所立的約。只要以色列謙卑認罪，神就記念約，重新施恩。這顯示神的審判是管教，不是棄絕，是要引人悔改回轉，而非永久毀滅。,"1. 順服神是祝福的道路，不只是義務
神所應許的祝福是全方位的——物質豐足、社會安穩、靈性相交——這些並非神用來引誘人遵守規則的獎賞，而是在聖約關係中自然湧現的果實。就如同健康的飲食和運動自然帶來身體的活力，而非「義務完成後的獎品」，與神同行的生命自然包含豐盛。信徒遵行神的話，不是為了換取祝福，而是因為生命在與神的同在中本就是豐盛的。
2. 神的管教是出於愛，目的是引人悔改
審判的升級模式——從輕到重，重複警告後才加重——顯示神不是急於懲罰，而是一再給機會。第18節「若還不聽從」、第21節「若仍不改正」、第27節「若不聽從」，每一階段都在等待以色列的回應。這正是希伯來書12:6所說的：「主所愛的，他必管教。」神的嚴厲不是憤恨，而是不肯放棄的父親之愛。
3. 神的約是永不廢棄的，悔改永遠開路
章末神宣告：即使以色列被擄，「我卻不厭棄他們，也不厭惡他們……也不背棄我與他們所立的約」。這是舊約最震撼人心的恩典宣告之一——神的約不因人的失敗而失效。只要有真實的悔改與謙卑，回轉的門永遠敞開。這個原則在新約中藉著基督的赦免工作得到終極的應驗：沒有任何失敗能使人永遠與神分離，只要轉向祂。",「我要在你們中間行走；我要作你們的神，你們要作我的子民。」（利26:12）,就像住在同一屋簷下的家人能彼此扶持、隨時照應，神應許住在祂子民中間是最大的祝福，你在日常生活中是否真實地體驗到神與你同行的臨在，還是祂的同在只是你在主日才想起的一個概念？,「你們因這些事若還不聽從我，我就要為你們的罪加七倍懲罰你們。」（利26:18）,就像忽視身體的病痛不去就醫，最終小病拖成大病，靈命上對神的警告一再漠視，只會使問題越來越嚴重，你生命中是否有神反複提醒、你卻一再推遲回應的事，你計畫什麼時候真正面對它？,「雖是這樣，他們在仇敵之地，我卻不厭棄他們，也不厭惡他們，……也不背棄我與他們所立的約。」（利26:44）,就像父母即使對孩子失望也不會徹底拋棄孩子，神對祂子民的約是永不廢棄的，你是否曾因自己的失敗和軟弱而認為神已經放棄你？這節經文如何改變你對自己靈命低谷的理解？,03利未記第26章,,,,,,
許願估價與十一奉獻：誠實履行對神的承諾,利未記第27章是全書最後一章，以一個相對技術性卻充滿屬靈意義的主題作結：許願的估價與贖回，以及十一奉獻的規定。在以色列文化中，人可以向神許願，將人、牲畜、房屋或土地分別為聖歸給耶和華，但若許願後想要贖回，必須按祭司估定的價值再加上五分之一，這一規定防止輕率許願或反悔後無代價地取消。章節的後半特別強調「十分之一是耶和華的」——農產與牲畜都要按規定繳納十一奉獻，這是對神主權的基本承認：所有的出產本就來自神，十一奉獻不過是歸還其中的一部分。本章以「永獻」的概念結語：凡真正獻給神的，不可更改、不可贖回，彰顯了奉獻的嚴肅性和不可逆轉性。利未記以這個結語宣告：整本書的核心信息是，在神面前所說的每一個承諾、所獻的每一份奉獻，都是認真且有代價的。,"1. 對神的承諾需要認真對待，不可輕率
許願後若要贖回需加五分之一的懲罰，是對「說說而已」的警告。神不是許願機器——信徒若向神許願、立志或承諾，必須認真對待。輕率的許願比不許願更糟，因為它顯示對神主權的輕慢。在禱告、獻身或奉獻的承諾上，信徒應當先數算代價，再謹慎地說出口，說出後便要努力履行，這才是對神的尊重。
2. 十一奉獻是對神主權的信心宣告
「十分之一是耶和華的」這一宣告的前提是：一切都是神的，十一奉獻不是人「給」神，而是人承認神對全部所有的主權後所作的信心行動。把十一獻給神，是在說：「我相信剩下的九分之十，神也能供應我。」在物質主義盛行的時代，十一奉獻是一個非常具體的信仰告白——信任神的供應超過自己對財富的掌控。
3. 奉獻的精髓是不求取回的委身
「永獻的……不可賣，也不可贖」，這代表某些對神的委身是沒有後路的。信仰中的委身常常如此——洗禮的宣告、結婚的誓言、全職事奉的呼召——這些是「永獻」而非「暫借」。利未記以此結束，提醒讀者：整卷書所要求的聖潔，不是暫時性的道德努力，而是一種整個人生命全然獻上、不留後路的委身姿態。",「人不可改換，也不可更換，或是好的換壞的，或是壞的換好的。」（利27:10）,就像簽了合約之後不能單方面隨意更改條款，向神所作的承諾同樣需要認真履行，你是否有對神說過但後來找藉口沒有兌現的承諾？今天是重新誠實面對那個承諾的時候嗎？,「地上所有的，無論是地上的種子是樹上的果子，十分之一是耶和華的，是歸給耶和華為聖的。」（利27:30）,就像工資單上有一項固定的所得稅在發薪前就已扣除，十一奉獻的精神是在收入到手前就先承認神的主權，你在管理財務時，神的份是第一順位還是最後剩下的部分——這個順序透露了你真正相信誰是一切的主？,「但一切永獻的……都不可賣，也不可贖。凡永獻的是歸給耶和華為至聖。」（利27:28）,就像結婚誓言中的「直到死亡將我們分開」代表一種無後路的委身，真正的信仰委身也是不留退路的，你對神的委身是有條件的（當情況好時才守）還是「永獻」式的——不論環境如何改變都不動搖？,03利未記第27章,,,,,,
