卷章名,領域,標題,勉勵,經文
14歷代志下第11章,信仰,天父看顧你在壓力中的順服,你是否曾站在一個「明明可以出手」卻感到神說「不」的時刻？羅波安握有十八萬精兵，正要出戰，卻因神的一句「這事出於我」而收手回家。這需要比出戰更大的勇氣。天父有時候的帶領，是讓你放下你手中的力量。接受神的「不」，是信心最深刻的表達。等候中的那段時間，是預備，不是浪費。,耶和華的話臨到神人示瑪雅說……你們不可上去與你們的弟兄爭戰，各歸各家去吧！因為這事出於我。眾人就聽從耶和華的話歸回。《歷代志下11:2-4》
14歷代志下第12章,品格,天父等候你在強盛中仍記念祂,你是否發現，自己往往在最順遂的時候，反而最容易忘記神？羅波安不是在苦難中離棄律法，而是「強盛的時候」就走偏了。這是人心最危險的時刻。然而當先知責備他，他立刻承認「耶和華是公義的」，神也立即收手。天父不要求你完美，但祂渴望你在豐盛時仍記念祂。今天，讓我們在一切順遂中，停下來說一句：「這一切，都因祢的恩典。」,於是王和以色列的眾首領都自卑說：「耶和華是公義的。」……他們既自卑，我必不滅絕他們。《歷代志下12:6-7》
14歷代志下第13章,信仰,天父在你呼求的那一刻出手,你是否曾陷入前後夾攻、毫無出路的處境？猶大軍被敵兵包圍，人的眼光看來已無路可走，但他們做了一件事：「呼求耶和華，祭司也吹號。」就在那一刻，神出手了。天父等候的，就是你那個呼求的時刻。不是等你把問題解決了才來感謝祂，而是在最無力的時刻，仰起臉對祂說：「我需要你。」那一聲呼求，能翻轉一切。,猶大人回頭觀看，見前後都有敵兵，就呼求耶和華，祭司也吹號。於是猶大人吶喊；猶大人吶喊的時候，神就使以色列眾人敗在亞比雅與猶大人面前。《歷代志下13:14-15》
14歷代志下第14章,禱告,天父聽見你在軟弱中的呼求,你是否曾面對一個遠比你強大的對手，不知如何開口禱告？亞撒的禱告沒有豪言壯語，只有誠實：「惟有你能幫助軟弱的，勝過強盛的……我們仰賴你。」這是最真實、也最有力的禱告。天父不是等你說出漂亮的句子才垂聽，祂等的是你真誠承認自己的不足，轉眼仰望祂。今天你的軟弱，正是天父施展大能的起點。,亞撒呼求耶和華他的神說：「耶和華啊，惟有你能幫助軟弱的，勝過強盛的……求你幫助我們；因為我們仰賴你，奉你的名來攻擊這大軍。」《歷代志下14:11》
14歷代志下第15章,信仰,天父保證你尋找就必尋見,你是否有時感到與神的距離很遠，不確定祂是否仍然垂聽？先知的話給了一個清晰的應許：「你們若尋求他，就必尋見；你們若離棄他，他必離棄你們。」這是一個雙向的真理，但也是一個充滿盼望的邀請。天父不是躲起來不讓人找到的神。只要你願意轉身，認真地尋求，祂就在那裡。今天，再往前踏一步，你會尋見。,你們若尋求他，就必尋見；你們若離棄他，他必離棄你們。《歷代志下15:2》
14歷代志下第16章,信仰,天父渴望你在每個關口都仰賴祂,你是否曾在壓力下，不自覺地先找人脈、先找資源，把禱告留在最後？亞撒年輕時靠神得大勝，年老時卻用聖殿的財寶去買外交盟友。先知說：「你這事行得愚昧。」那句話不是責備他尋求幫助，而是指出他忘了那位曾幫他以少勝多的神。天父的眼目遍察全地，要幫助那向祂心存誠實的人。你的每一個關口，祂都在等你先轉向祂。,耶和華的眼目遍察全地，要顯大能幫助向他心存誠實的人。《歷代志下16:9》
14歷代志下第17章,品格,天父看顧你尋求祂的每一天,你是否曾覺得，信仰的成果太慢、太不明顯？約沙法的強盛沒有任何戲劇性的大事件，記錄只有一句話：「他尋求神，神就使他亨通。」就這樣，日積月累。天父的賜福往往不是一次性的大爆發，而是在你每天尋求祂、每天順服祂的積累中，悄悄地流入你的生命。今天的尋求，是明天豐盛的種子。,耶和華與約沙法同在；因為他行他祖大衛初行的道，不尋求巴力，只尋求他父親的神，遵行他的誡命。《歷代志下17:3-4》
14歷代志下第18章,信仰,天父在你的錯誤中仍不放棄你,你是否曾因為自己做了錯誤的決定，而擔心神已經不再與你同在？約沙法因為與惡王結盟，被捲入危及生命的戰場。但就在最危急的時刻，「他一呼喊，耶和華就幫助他」。神沒有因為他之前的錯誤而袖手旁觀。天父的恩典比我們的過失更大。即使是因自己的判斷失誤而陷入的困境，只要你開口呼求，祂的手仍然伸出來。,約沙法一呼喊，耶和華就幫助他，神又感動他們離開他。《歷代志下18:31》
14歷代志下第19章,品格,天父看顧你在崗位上公義的每個決定,你是否覺得，自己在職場或生活中所做的判斷，只是普通的日常事務？約沙法告訴審判官：「你們判斷不是為人，乃是為耶和華。」這句話把每一個世俗的決定，都提升到屬靈的高度。天父看顧你在崗位上的每一個選擇——那個說真話的時刻、那個堅持公正的決定、那個選擇不說謊的瞬間。這些不是小事，是你在神面前的事奉。,對他們說：「你們辦事應當謹慎；因為你們判斷不是為人，乃是為耶和華。判斷的時候，他必與你們同在。」《歷代志下19:6》
14歷代志下第20章,禱告,天父聽見你誠實承認無力的禱告,你是否曾站在一個巨大的困境前，不知道該怎麼辦？約沙法的禱告中有一句最有力的話：「我們也不知道怎樣行，我們的眼目單仰望你。」他沒有假裝自己有計畫，也沒有在神面前掩蓋自己的無知。就是這份誠實，打開了神超然的回應。天父不是要你帶著答案來找祂，而是帶著你的無知、你的恐懼、你的「不知道」來到祂面前。那才是真正的信靠。,我們的神啊……我們無力抵擋這來攻擊我們的大軍，我們也不知道怎樣行，我們的眼目單仰望你。《歷代志下20:12》
14歷代志下第21章,婚姻,天父看顧你的生命留下美好的記念,你是否曾想過，你的一生將留下什麼？約蘭王死後，聖經記下一句令人心寒的話：「去世，無人思慕。」他有王位、有財富，卻因離棄神、傷害百姓，最後無人惦記。但神仍因祂與大衛的約，保存了那一線的盼望。天父看重的，不是你擁有多少，而是你的生命是否真實地觸動過身旁的人。今天你的選擇，正在塑造你將留下的記念。,耶和華卻因自己與大衛所立的約，不肯滅大衛的家，照他所應許的，永遠賜燈光與大衛和他的子孫。《歷代志下21:7》
14歷代志下第22章,信仰,天父在黑暗中保守你的盼望不熄滅,你是否曾處於一個看似「應許快要斷絕」的時刻？亞他利雅的政變幾乎剷除了大衛家的所有後裔，那六年，從人的眼光看，神的應許似乎已經破滅。但有一個人——約示巴——悄悄地把嬰兒藏起來。神的應許從未真正斷絕，祂在最黑暗的時刻，透過一個普通人的一個行動，保全了那一線的盼望。今天你所面對的黑暗，也不是故事的終點。,但王的女兒約示巴將亞哈謝的兒子約阿施從那被殺的王子中偷出來，把他和他的乳母都藏在臥房裏……免得被殺。《歷代志下22:11》
14歷代志下第23章,信仰,天父的應許必在適當時候成就,你是否曾在漫長的等候中，開始懷疑神的應許是否真的會實現？約阿施被藏在聖殿整整六年，等候那個應許成就的時刻。耶何耶大沒有急躁，而是在神的時間裡，以周密的計劃、同心的群體，讓那個應許在一天之內成為現實。天父的應許不會忘記，也不會遲延太久。你所等候的，正在神的計劃中預備著。繼續信靠，繼續持守。,耶何耶大對他們說：「看哪，王的兒子必當作王，正如耶和華指著大衛子孫所應許的話」。《歷代志下23:3》
14歷代志下第24章,信仰,天父盼望你建立真實的與祂的關係,你的信仰，是否需要靠某個人的存在才能維持？約阿施在耶何耶大活著時行善，一旦那位導師離世，他立刻走偏。這是一個讓人警醒的提醒：真正的信仰不能只是跟著有力量的人走，而必須是你自己與神之間真實的連結。天父渴望的，不是你跟隨別人的信仰，而是你自己認識祂、愛祂。今天，讓你與神的關係，是你自己的，不借別人。,耶何耶大年紀老邁，日子滿足而死……因為他在以色列人中行善，又事奉神，修理神的殿。《歷代志下24:15-16》
14歷代志下第25章,財務,天父的供應勝過你所損失的,你是否曾面臨一個選擇：順服神，但代價是具體的損失？亞瑪謝花了百他連得雇用的傭兵，神卻說「打發他們回去」。當他猶豫時，神人說了一句簡單的話：「耶和華能把更多的賜給你。」天父不會讓你因順服而落空。你所損失的，在祂眼中都有補償。今天，若你因順服神而需要放棄某些看得見的利益，請記住這句話：耶和華能把更多的賜給你。,神人回答說：「耶和華能把更多的賜給你。」《歷代志下25:9》
14歷代志下第26章,品格,天父不喜悅你在強盛中越過自己的界線,你是否曾在事業或服事蒸蒸日上的時候，漸漸覺得自己無所不能？烏西雅是一個成功的王，然而聖經說：「他既強盛，就心高氣傲，以致行事邪僻。」他的跌倒不是在失敗中，而是在最輝煌的時刻。天父給每個人都有其位置與界線，不是限制，而是保護。強盛的時候，更需要謙卑。在你最成功的時刻，仍俯伏在神面前，是最難、也最寶貴的功課。,他既強盛，就心高氣傲，以致行事邪僻，干犯耶和華他的神，進耶和華的殿，要在香壇上燒香。《歷代志下26:16》
14歷代志下第27章,品格,天父看見你從前人失敗中學習的心,你是否曾因為看見別人的失敗而感到警醒，並刻意地選擇不走同一條路？約坦的可貴之處，在於他知道父親烏西雅是在哪裡跌倒的，並且選擇不重蹈覆轍。這需要謙卑和自知。天父看重這樣的學習——不是模仿成功的外表，而是認清危險的陷阱並遠離它。你身邊是否也有前人的失敗，可以成為你的提醒？,約坦在耶和華他神面前行正道，以致日漸強盛。《歷代志下27:6》
14歷代志下第28章,信仰,天父盼望你在急難中轉向祂而不是遠離,你是否曾在壓力最大的時候，反而做出最糟糕的決定？亞哈斯王在「急難的時候越發得罪耶和華」，苦難把他推得更遠，而不是更近。但同一章裡，有一群以色列人在見到苦難時，選擇了憐憫——給被擄的人穿衣、餵食、用膏抹。苦難是一面鏡子，照出我們內心真實的方向。天父盼望，在你最難的時刻，你仍選擇轉向祂，而不是逃離。,以上提名的那些人就站起，使被擄的人前來……給他們穿，又給他們喫喝，用膏抹他們……《歷代志下28:15》
14歷代志下第29章,信仰,天父等待你主動開門迎接祂,你是否覺得與神的關係疏遠了，卻不知從何開始恢復？希西家做的第一件事，是「開了耶和華殿的門」。那是一個主動的、刻意的行動，宣告：「我要讓神重新進入我們的生活。」屬靈的復興往往從一個「開門」的決定開始——重新打開聖經、重新開始禱告、重新走回信仰群體。天父就在門的另一邊等候。你願意先伸手，開那扇門嗎？,元年正月，開了耶和華殿的門，重新修理。《歷代志下29:3》
14歷代志下第30章,信仰,天父看重你尋求祂的心超過儀式的完整,你是否曾因為「準備不夠充分」而不敢來到神面前？逾越節時，許多人來不及按禮儀潔淨自己，希西家為他們禱告，神說：「凡專心尋求神……我必饒恕他。」天父看重的是你那顆真誠尋求的心，遠超過禮儀的完整。你不需要「狀態夠好」才能來到神面前。帶著真實的渴慕，哪怕準備不足，祂都歡迎你。,凡專心尋求神……雖不照著聖所潔淨之禮自潔，求至善的耶和華也饒恕他。耶和華垂聽希西家的禱告，就饒恕百姓。《歷代志下30:18-20》
14歷代志下第31章,奉獻,天父看顧你慷慨給予的心,你是否曾猶豫，奉獻之後自己夠不夠用？百姓歡歡喜喜地帶來十分之一，堆積如山，大祭司驚訝地說：「自從民將供物送到耶和華殿以來，我們不但喫飽，且剩下的甚多；因為耶和華賜福與他的民。」慷慨的奉獻不是虧損，而是開門讓神的祝福流進來。天父從不虧待那個甘心給予的人。今天，讓你的慷慨成為信心的行動。,撒督家的大祭司亞撒利雅回答說：「自從民將供物送到耶和華殿以來，我們不但喫飽，且剩下的甚多；因為耶和華賜福與他的民。」《歷代志下31:10》
14歷代志下第32章,信仰,天父與你同在使你不必恐懼,你是否正面對一個讓你恐懼的挑戰，覺得對方比你強大太多？希西家在亞述大軍壓境時，告訴百姓一句話：「與我們同在的，比與他們同在的更大。與他們同在的是肉臂，與我們同在的是耶和華我們的神。」這不是天真的樂觀，而是有根基的信心宣告。天父就是那位「更大的」。今天，讓這個真實取代你的恐懼：神在你這邊，祂比一切更大。,你們當剛強壯膽，不要因亞述王和跟隨他的大軍恐懼、驚慌；因為與我們同在的，比與他們同在的更大。《歷代志下32:7-8》
14歷代志下第33章,悔改,天父的恩典向最深的罪人也敞開,你是否曾覺得自己走得太遠，神可能不會再接納你？瑪拿西是聖經中惡行記錄最多的王，然而當他「在急難中極其自卑，懇求耶和華」，神「允准他的祈求」。這不是說惡行無關緊要，而是說悔改的門對最遠走的人仍然敞開。天父的恩典，沒有超越它的罪。無論你曾走多遠，只要你願意真心回轉，祂的接納就是真實的。,他在急難的時候，就懇求耶和華他的神，且在他列祖的神面前極其自卑……耶和華就允准他的祈求……瑪拿西這纔知道惟獨耶和華是神。《歷代志下33:12-13》
14歷代志下第34章,信仰,天父回應你在年輕時就尋求祂的心,你是否曾以為，認真信仰是年紀大了才需要的事？約西亞八歲登基，十六歲就開始「尋求神」，那是一個青少年主動的個人決定，遠在任何公開改革之前。天父看見那個安靜、個人的尋求，並在其後成就了整個國家的屬靈更新。無論你現在多年輕，你今天對神的尋求都是真實而有分量的。不要等到「以後再說」，神就在今天等你。,你便心裏敬服，在我面前自卑，撕裂衣服，向我哭泣，因此我應允了你。這是我耶和華說的。《歷代志下34:27》
14歷代志下第35章,服事,天父看顧你慷慨服事所激勵的生命,你是否曾想過，你的慷慨可以成為別人信心的催化劑？約西亞從自己的產業拿出大量祭物賜給百姓，眾首領見了，也隨即效法。一個人的慷慨和委身，往往能引發整個群體的跟隨。天父看顧你每一個甘心給出的行動，那不只是你個人的獻上，更可能成為身旁的人邁出信仰腳步的起點。你的慷慨，比你所知道的，影響更深遠。,約西亞從群畜中賜給在那裏所有的人民，綿羊羔和山羊羔三萬隻，牛三千隻，作逾越節的祭物；這都是出自王的產業中。《歷代志下35:7》
14歷代志下第36章,信仰,天父的愛從早到晚從不放棄你,你是否知道，即使在你最遠離神的時候，祂仍然沒有放棄你？歷代志下最後記錄了一個令人動容的細節：「耶和華因為愛惜自己的民……從早起來差遣使者去警戒他們。」不是一次，而是一次又一次地早起，差遣提醒。這是一位不肯放棄的天父的形象。即使在最黑暗的時期之後，神仍興起古列，開啟歸回的路。祂從沒有停止愛你，祂的愛是從早到晚、從不停息的。,耶和華他們列祖的神因為愛惜自己的民和他的居所，從早起來差遣使者去警戒他們。《歷代志下36:15》
